!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      2900.00    4.00    0.00    0.00       -37.523     -38.074     -38.366       0.551       0.843       0.292
      2900.00    4.50    0.00    0.00       -37.509     -38.069     -38.369       0.561       0.860       0.299
      2900.00    5.00    0.00    0.00       -37.513     -38.092     -38.379       0.578       0.865       0.287
      2900.00    5.50    0.00    0.00       -37.520     -38.116     -38.383       0.596       0.863       0.268
      3000.00    2.50    0.00    0.00       -37.635     -38.435     -38.606       0.800       0.971       0.171
      3000.00    3.00    0.00    0.00       -37.665     -38.349     -38.546       0.684       0.881       0.197
      3000.00    3.50    0.00    0.00       -37.662     -38.256     -38.500       0.594       0.838       0.244
      3000.00    4.00    0.00    0.00       -37.647     -38.215     -38.483       0.568       0.836       0.268
      3000.00    4.50    0.00    0.00       -37.623     -38.188     -38.472       0.565       0.849       0.284
      3000.00    5.00    0.00    0.00       -37.637     -38.215     -38.487       0.578       0.851       0.272
      3000.00    5.50    0.00    0.00       -37.640     -38.232     -38.489       0.592       0.850       0.257
      3100.00    2.50    0.00    0.00       -37.718     -38.568     -38.745       0.850       1.027       0.177
      3100.00    3.00    0.00    0.00       -37.751     -38.497     -38.684       0.746       0.933       0.187
      3100.00    3.50    0.00    0.00       -37.757     -38.393     -38.623       0.636       0.867       0.231
      3100.00    4.00    0.00    0.00       -37.736     -38.328     -38.586       0.591       0.850       0.259
      3100.00    4.50    0.00    0.00       -37.731     -38.314     -38.581       0.583       0.851       0.268
      3100.00    5.00    0.00    0.00       -37.717     -38.303     -38.572       0.586       0.855       0.269
      3100.00    5.50    0.00    0.00       -37.716     -38.316     -38.576       0.599       0.860       0.260
      3200.00    2.50    0.00    0.00       -37.798     -38.695     -38.880       0.897       1.082       0.185
      3200.00    3.00    0.00    0.00       -37.837     -38.642     -38.823       0.805       0.986       0.181
      3200.00    3.50    0.00    0.00       -37.853     -38.537     -38.753       0.684       0.900       0.216
      3200.00    4.00    0.00    0.00       -37.841     -38.462     -38.704       0.621       0.862       0.242
      3200.00    4.50    0.00    0.00       -37.827     -38.423     -38.681       0.596       0.853       0.257
      3200.00    5.00    0.00    0.00       -37.812     -38.402     -38.664       0.590       0.851       0.261
      3200.00    5.50    0.00    0.00       -37.818     -38.417     -38.672       0.599       0.854       0.255
      3300.00    2.50    0.00    0.00       -37.881     -38.810     -39.005       0.930       1.124       0.194
      3300.00    3.00    0.00    0.00       -37.916     -38.771     -38.953       0.855       1.037       0.182
