!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      2500.00    5.50    0.00    0.00       -36.102     -36.248     -36.043       0.147      -0.059      -0.205
      2600.00    2.50    0.00    0.00       -36.300     -36.344     -36.165       0.044      -0.135      -0.179
      2600.00    3.00    0.00    0.00       -36.264     -36.289     -36.167       0.026      -0.097      -0.123
      2600.00    3.50    0.00    0.00       -36.236     -36.286     -36.178       0.049      -0.058      -0.107
      2600.00    4.00    0.00    0.00       -36.228     -36.298     -36.184       0.070      -0.044      -0.113
      2600.00    4.50    0.00    0.00       -36.263     -36.322     -36.189       0.059      -0.074      -0.133
      2600.00    5.00    0.00    0.00       -36.238     -36.350     -36.190       0.112      -0.048      -0.160
      2600.00    5.50    0.00    0.00       -36.242     -36.380     -36.181       0.138      -0.061      -0.199
      2700.00    2.50    0.00    0.00       -36.434     -36.542     -36.309       0.108      -0.125      -0.232
      2700.00    3.00    0.00    0.00       -36.421     -36.470     -36.307       0.049      -0.115      -0.163
      2700.00    3.50    0.00    0.00       -36.382     -36.432     -36.298       0.050      -0.084      -0.133
      2700.00    4.00    0.00    0.00       -36.368     -36.435     -36.302       0.067      -0.065      -0.133
      2700.00    4.50    0.00    0.00       -36.407     -36.496     -36.349       0.089      -0.058      -0.147
      2700.00    5.00    0.00    0.00       -36.365     -36.474     -36.309       0.109      -0.056      -0.165
      2700.00    5.50    0.00    0.00       -36.433     -36.512     -36.312       0.079      -0.121      -0.200
      2800.00    2.50    0.00    0.00       -36.549     -36.729     -36.461       0.180      -0.088      -0.268
      2800.00    3.00    0.00    0.00       -36.548     -36.633     -36.430       0.084      -0.119      -0.203
      2800.00    3.50    0.00    0.00       -36.520     -36.582     -36.419       0.062      -0.101      -0.163
      2800.00    4.00    0.00    0.00       -36.503     -36.573     -36.420       0.070      -0.083      -0.153
      2800.00    4.50    0.00    0.00       -36.509     -36.580     -36.423       0.070      -0.087      -0.157
      2800.00    5.00    0.00    0.00       -36.493     -36.603     -36.437       0.110      -0.056      -0.166
      2800.00    5.50    0.00    0.00       -36.502     -36.631     -36.432       0.128      -0.070      -0.198
      2900.00    2.50    0.00    0.00       -36.647     -36.908     -36.611       0.261      -0.036      -0.297
      2900.00    3.00    0.00    0.00       -36.665     -36.803     -36.556       0.138      -0.110      -0.247
      2900.00    3.50    0.00    0.00       -36.642     -36.721     -36.523       0.079      -0.119      -0.198
      2900.00    4.00    0.00    0.00       -36.627     -36.703     -36.525       0.076      -0.102      -0.178
      2900.00    4.50    0.00    0.00       -36.612     -36.698     -36.527       0.086      -0.085      -0.171
