 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
 109  7.14444202   0.692  -1.20355   3.53605   6.59126   0.92871   0.00000   0.000E+00   0.000E+00   1.000E+00
 110  7.14916033   0.692  -1.20727   3.53604   6.59306   0.93418   0.00000   0.000E+00   0.000E+00   1.000E+00
 111  7.15382792   0.692  -1.21098   3.53603   6.59486   0.93966   0.00000   0.000E+00   0.000E+00   1.000E+00
 112  7.15844587   0.692  -1.21464   3.53603   6.59662   0.94505   0.00000   0.000E+00   0.000E+00   1.000E+00
 113  7.16301525   0.692  -1.21813   3.53602   6.59831   0.95018   0.00000   0.000E+00   0.000E+00   1.000E+00
 114  7.16753704   0.692  -1.22162   3.53602   6.59999   0.95530   0.00000   0.000E+00   0.000E+00   1.000E+00
 115  7.17201224   0.692  -1.22511   3.53601   6.60167   0.96043   0.00000   0.000E+00   0.000E+00   1.000E+00
 116  7.17644180   0.692  -1.22860   3.53601   6.60335   0.96556   0.00000   0.000E+00   0.000E+00   1.000E+00
 117  7.18082663   0.692  -1.23209   3.53600   6.60503   0.97069   0.00000   0.000E+00   0.000E+00   1.000E+00
 118  7.18516763   0.692  -1.23539   3.53599   6.60662   0.97553   0.00000   0.000E+00   0.000E+00   1.000E+00
 119  7.18946567   0.692  -1.23866   3.53599   6.60820   0.98034   0.00000   0.000E+00   0.000E+00   1.000E+00
 120  7.19372159   0.692  -1.24194   3.53598   6.60977   0.98514   0.00000   0.000E+00   0.000E+00   1.000E+00
 121  7.19793621   0.692  -1.24521   3.53597   6.61135   0.98994   0.00000   0.000E+00   0.000E+00   1.000E+00
 122  7.20211032   0.692  -1.24848   3.53597   6.61292   0.99475   0.00000   0.000E+00   0.000E+00   1.000E+00
 123  7.20624470   0.692  -1.25173   3.53596   6.61448   0.99950   0.00000   2.592E-05   0.000E+00   1.000E+00
 124  7.21034009   0.692  -1.25479   3.53595   6.61596   1.00400   0.00000   1.896E-04   0.000E+00   9.998E-01
